"","Graduating.Class","Fall.Freshman.Year","District","District.Name","Graduates","Total.Cohort","Graduation.Rate","Graduation.Rate.Category"
"74",2012,2008,4269,"Midland",25,31,80.7,"80.1 - 90%"
"75",2016,2012,2169,"Fairfield",112,132,84.9,"80.1 - 90%"
"76",2010,2006,4774,"North Fayette",71,73,97.3,"90.1 - 100%"
"77",2013,2009,981,"Carlisle",102,110,92.7,"90.1 - 100%"
"78",2009,2005,171,"Alta",40,43,93,"90.1 - 100%"
"79",2016,2012,3195,"Greene County",95,99,96,"90.1 - 100%"
"80",2011,2007,6099,"South O'Brien",42,48,87.5,"80.1 - 90%"
"81",2010,2006,504,"Battle Creek-Ida Grove",76,78,97.4,"90.1 - 100%"
"82",2016,2012,6509,"Turkey Valley",24,24,100,"90.1 - 100%"
"83",2015,2011,1602,"Danville",49,55,89.1,"80.1 - 90%"
"84",2013,2009,7002,"Whiting",15,16,93.8,"90.1 - 100%"
"85",2011,2007,5625,"Rockwell City-Lytton",35,36,97.2,"90.1 - 100%"
"86",2013,2009,1079,"Central Lee",73,76,96.1,"90.1 - 100%"
"87",2012,2008,1449,"Corwith-Wesley",9,11,81.8,"80.1 - 90%"
"88",2012,2008,1638,"Decorah",115,117,98.3,"90.1 - 100%"
"89",2017,2013,1350,"Collins-Maxwell",35,36,97.2,"90.1 - 100%"
"90",2013,2009,2088,"Emmetsburg",51,53,96.2,"90.1 - 100%"
"91",2016,2012,4033,"Maple Valley-Anthon Oto",43,45,95.6,"90.1 - 100%"
"92",2015,2011,6165,"Stanton",13,13,100,"90.1 - 100%"
"93",2011,2007,7110,"Woodward-Granger",50,56,89.3,"80.1 - 90%"
"94",2014,2010,6165,"Stanton",16,19,84.2,"80.1 - 90%"
"96",2010,2006,977,"Cardinal",47,50,94,"90.1 - 100%"
"97",2012,2008,225,"Ames",283,310,91.3,"90.1 - 100%"
"98",2012,2008,4446,"Monticello",75,85,88.2,"80.1 - 90%"
"99",2011,2007,6961,"Western Dubuque",256,264,97,"90.1 - 100%"
"100",2017,2013,7098,"Woodbury Central",45,45,100,"90.1 - 100%"
"101",2015,2011,6534,"Underwood",39,40,97.5,"90.1 - 100%"
"102",2009,2005,18,"Adair-Casey",29,30,96.7,"90.1 - 100%"
"103",2011,2007,1093,"Central Decatur",49,52,94.2,"90.1 - 100%"
"104",2016,2012,2007,"Eldora-New Providence",56,57,98.3,"90.1 - 100%"
"106",2009,2005,279,"Aplington-Parkersburg",56,57,98.3,"90.1 - 100%"
"107",2009,2005,6930,"West Branch",56,63,88.9,"80.1 - 90%"
"108",2010,2006,4356,"Missouri Valley",74,77,96.1,"90.1 - 100%"
"109",2011,2007,6091,"Southern Cal",44,45,97.8,"90.1 - 100%"
"110",2009,2005,6957,"West Des Moines",584,627,93.1,"90.1 - 100%"
"111",2012,2008,234,"Anamosa",101,112,90.2,"90.1 - 100%"
"112",2017,2013,513,"Baxter",27,30,90,"80.1 - 90%"
"113",2012,2008,6990,"West Sioux",40,46,87,"80.1 - 90%"
"114",2009,2005,1719,"Denver",61,63,96.8,"90.1 - 100%"
"115",2014,2010,6957,"West Des Moines",628,676,92.9,"90.1 - 100%"
"116",2010,2006,4905,"Olin",13,17,76.5,"70.1 - 80%"
"117",2010,2006,6741,"Wall Lake View Auburn",71,73,97.3,"90.1 - 100%"
"119",2010,2006,4890,"Okoboji",76,80,95,"90.1 - 100%"
"120",2014,2010,6937,"West Burlington",47,55,85.5,"80.1 - 90%"
"121",2014,2010,355,"Ar-We-Va",15,15,100,"90.1 - 100%"
"122",2016,2012,3841,"Louisa-Muscatine",59,66,89.4,"80.1 - 90%"
"123",2015,2011,7029,"Williamsburg",94,98,95.9,"90.1 - 100%"
"124",2013,2009,1359,"Colo-Nesco",33,37,89.2,"80.1 - 90%"
"125",2014,2010,2727,"Grundy Center",41,44,93.2,"90.1 - 100%"
"126",2013,2009,1503,"Creston",101,110,91.8,"90.1 - 100%"
"127",2010,2006,1431,"Corning",42,44,95.5,"90.1 - 100%"
"128",2012,2008,999,"Carroll",133,143,93,"90.1 - 100%"
