County,AEA,District,District.Name,Graduation.Year,Diploma.Count,Private.4-Year.College,Public.4-Year.College,Private.2-Year.College,Community.College,Other.Training,Employment,Homemaker,Military,Unknown
54,15,5163,Pekin,2012,46,8,7,31,0,0,0,0,0,0
63,11,5166,Pella,2012,165,56,38,44,2,3,12,0,3,7
25,11,5184,Perry,2012,123,7,16,53,0,2,17,0,9,19
82,9,5250,Pleasant Valley,2012,289,58,115,76,2,4,15,0,8,11
63,11,5256,Pleasantville,2012,37,10,7,17,0,0,1,0,2,0
76,5,5283,Pocahontas Area,2012,46,4,10,28,0,0,0,0,1,3
3,1,5310,Postville,2012,27,0,11,11,0,0,5,0,0,0
94,5,5325,Prairie Valley,2012,62,2,14,35,0,2,4,0,4,1
2,13,5328,Prescott,2012,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
49,9,5337,Preston,2012,29,6,7,9,0,1,4,0,2,0
69,13,5463,Red Oak,2012,86,11,14,36,2,5,11,0,4,3
75,12,5486,Remsen-Union,2012,28,4,11,9,0,1,0,0,3,0
45,1,5508,Riceville,2012,18,2,2,11,0,0,1,0,0,2
78,13,5510,Riverside,2012,42,8,5,23,0,0,5,0,0,1
84,12,5607,Rock Valley,2012,51,8,16,9,0,6,8,0,2,2
13,5,5625,Rockwell City-Lytton,2012,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
85,11,5643,Roland-Story,2012,74,11,26,30,0,1,3,0,3,0
34,7,5697,Rudd-Rockford-Marble Rk,2012,37,0,11,22,0,0,2,1,1,0
74,5,5724,Ruthven-Ayrshire,2012,16,1,1,6,0,0,8,0,0,0
66,7,5751,St Ansgar,2012,59,0,15,35,0,0,3,0,0,6
77,11,5805,Saydel,2012,99,10,22,31,2,4,6,1,5,18
81,5,5823,Schaller-Crestland,2012,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
24,12,5832,Schleswig,2012,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
55,5,5868,Sentral,2012,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
97,12,5877,Sergeant Bluff-Luton,2012,108,14,44,26,1,2,2,0,11,8
93,15,5895,Seymour,2012,15,1,1,5,0,1,3,0,1,3
17,7,5922,West Fork CSD,2012,58,7,5,30,2,0,9,0,1,4
71,12,5949,Sheldon,2012,70,13,27,21,0,0,6,0,2,1
73,13,5976,Shenandoah,2012,67,11,20,17,0,3,15,1,0,0
72,12,5994,Sibley-Ocheyedan,2012,40,5,11,14,0,0,6,0,2,2
36,13,6003,Sidney,2012,34,2,10,17,0,2,1,1,1,0
54,15,6012,Sigourney,2012,37,4,8,17,0,0,7,0,1,0
84,12,6030,Sioux Center,2012,62,20,11,19,1,0,8,1,1,1
11,5,6035,Sioux Central,2012,35,7,6,11,2,1,4,2,1,1
97,12,6039,Sioux City,2012,894,83,228,321,10,22,82,5,42,101
13,5,6091,Southern Cal,2012,74,7,15,28,1,0,10,0,10,3
52,10,6093,Solon,2012,98,17,42,17,0,2,2,0,1,17
91,11,6094,Southeast Warren,2012,34,1,8,17,1,1,2,0,1,3
40,5,6095,South Hamilton,2012,54,8,15,26,0,0,4,0,0,1
94,5,6096,Southeast Webster Grand,2012,28,4,5,13,0,0,6,0,0,0
73,13,6097,South Page,2012,15,1,1,8,0,2,1,0,1,1
86,7,6098,South Tama County,2012,102,6,20,47,0,5,13,0,8,3
71,12,6099,South O'Brien,2012,56,2,20,24,0,0,7,0,2,1
96,1,6100,South Winneshiek,2012,61,10,9,22,0,0,2,0,0,18
77,11,6101,Southeast Polk,2012,387,58,96,154,2,8,21,0,17,31
21,5,6102,Spencer,2012,131,19,33,58,1,1,7,0,5,7
30,5,6120,Spirit Lake,2012,100,19,30,32,0,1,17,0,1,0
57,10,6138,Springville,2012,26,3,7,9,0,1,3,0,2,1
69,13,6165,Stanton,2012,21,4,3,7,0,4,3,0,0,0
33,1,6175,Starmont,2012,54,11,14,17,0,0,8,0,3,1
11,5,6219,Storm Lake,2012,156,31,19,57,1,6,39,1,1,1
40,5,6246,Stratford,2012,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
39,11,6264,West Central Valley,2012,56,8,9,25,1,2,6,0,0,5
9,7,6273,Sumner,2012,58,8,13,28,1,0,8,0,0,0
16,10,6408,Tipton,2012,62,10,13,23,0,4,8,0,1,3
55,5,6417,Titonka Consolidated,2012,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
78,13,6453,Treynor,2012,59,8,23,25,0,1,0,0,2,0
78,13,6460,Tri-Center,2012,66,13,19,23,0,3,5,0,3,0
54,15,6462,Tri-County,2012,18,1,5,9,0,0,1,0,2,0
9,7,6471,Tripoli,2012,35,8,10,10,1,3,0,0,1,2
96,1,6509,Turkey Valley,2012,48,2,17,17,0,0,11,0,1,0
63,11,6512,Twin Cedars,2012,40,4,3,19,1,2,11,0,0,0
46,5,6516,Twin Rivers,2012,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
78,13,6534,Underwood,2012,63,6,15,35,0,0,3,0,4,0
7,7,6536,Union,2012,92,8,20,45,0,2,8,0,4,5
